date;day_text;note;label;phase;season;season_number;season_total;days
2025-01-06;\FirstQuarter;;;waxing;\x;0;0;0
2025-01-13;\FullMoon;;;full;\xHemanta;4;8;15
2025-01-16;;\xAjahnChahMemorialDay;aj-chah-memorial;;;0;0;0
2025-01-21;\LastQuarter;;;waning;\x;0;0;0
2025-01-28;\NewMoon;;;new;\xHemanta;5;8;15
2025-02-05;\FirstQuarter;;;waxing;\x;0;0;0
2025-02-12;\FullMoon;;magha;full;\xHemanta;6;8;15
2025-02-12;\FullMoon;\xMaghaPuja;magha;;;0;0;0
2025-02-20;\LastQuarter;;;waning;\x;0;0;0
2025-02-26;\NewMoon;;;new;\xHemanta;7;8;14
2025-03-06;\FirstQuarter;;;waxing;\x;0;0;0
2025-03-13;\FullMoon;;;full;\xHemanta;8;8;15
2025-03-21;\LastQuarter;;;waning;\x;0;0;0
2025-03-28;\NewMoon;;;new;\xGimha;1;8;15
2025-04-05;\FirstQuarter;;;waxing;\x;0;0;0
2025-04-12;\FullMoon;;;full;\xGimha;2;8;15
2025-04-13;;\xThaiNewYear;thai-new-year;;;0;0;0
2025-04-20;\LastQuarter;;;waning;\x;0;0;0
2025-04-26;\NewMoon;;;new;\xGimha;3;8;14
2025-05-04;\FirstQuarter;;;waxing;\x;0;0;0
2025-05-11;\FullMoon;;vesakha;full;\xGimha;4;8;15
2025-05-11;\FullMoon;\xVesakhaPuja;vesakha;;;0;0;0
2025-05-19;\LastQuarter;;;waning;\x;0;0;0
2025-05-26;\NewMoon;;;new;\xGimha;5;8;15
2025-06-03;\FirstQuarter;;;waxing;\x;0;0;0
2025-06-10;\FullMoon;;;full;\xGimha;6;8;15
2025-06-17;;\xAjahnChahBirthDay;aj-chah-birthday;;;0;0;0
2025-06-18;\LastQuarter;;;waning;\x;0;0;0
2025-06-25;\NewMoon;;;new;\xGimha;7;8;15
2025-07-03;\FirstQuarter;;;waxing;\x;0;0;0
2025-07-10;\FullMoon;;asalha;full;\xGimha;8;8;15
2025-07-10;\FullMoon;\xAsalhaPuja;asalha;;;0;0;0
2025-07-11;;\xFirstDayOfVassa;first-day;;;0;0;0
2025-07-18;\LastQuarter;;;waning;\x;0;0;0
2025-07-25;\NewMoon;;;new;\xVassana;1;8;15
2025-08-02;\FirstQuarter;;;waxing;\x;0;0;0
2025-08-09;\FullMoon;;;full;\xVassana;2;8;15
2025-08-17;\LastQuarter;;;waning;\x;0;0;0
2025-08-23;\NewMoon;;;new;\xVassana;3;8;14
2025-08-31;\FirstQuarter;;;waxing;\x;0;0;0
2025-09-07;\FullMoon;;;full;\xVassana;4;8;15
2025-09-15;\LastQuarter;;;waning;\x;0;0;0
2025-09-22;\NewMoon;;;new;\xVassana;5;8;15
2025-09-30;\FirstQuarter;;;waxing;\x;0;0;0
2025-10-07;\FullMoon;;pavarana;full;\xVassana;6;8;15
2025-10-07;\FullMoon;\xPavarana;pavarana;;;0;0;0
2025-10-07;\FullMoon;\xLastDayOfVassa;last-day;;;0;0;0
2025-10-15;\LastQuarter;;;waning;\x;0;0;0
2025-10-21;\NewMoon;;;new;\xVassana;7;8;14
2025-10-29;\FirstQuarter;;;waxing;\x;0;0;0
2025-11-05;\FullMoon;;;full;\xVassana;8;8;15
2025-11-13;\LastQuarter;;;waning;\x;0;0;0
2025-11-20;\NewMoon;;;new;\xHemanta;1;8;15
2025-11-28;\FirstQuarter;;;waxing;\x;0;0;0
2025-12-05;\FullMoon;;;full;\xHemanta;2;8;15
2025-12-13;\LastQuarter;;;waning;\x;0;0;0
2025-12-19;\NewMoon;;;new;\xHemanta;3;8;14
2025-12-27;\FirstQuarter;;;waxing;\x;0;0;0
